# id|name|slot|value|gold|xp|flags|requirements|rewards|accept_requirements
1|First Quest|-1|0|0|0||||
2|Chieftain's Head|-1|0|100|100||35:1:1:Chieftain's Head||
3|Chipped Tooth|-1|0|100|100||33:10:1:Chipped Tooth|559:1:1:Small Skull|
4|Hideous Tail|-1|0|100|100||32:5:1:Hideous Zard Tail||
5|Funny Bone|-1|0|150|100||42:1:1:Jack Sprat's Funny Bone|559:1:1:Small Skull|
6|Porkon's Pride|-1|0|0|100||44:1:1:Porkon's Pride||
7|Zorbak's Reward|-1|0|200|100||559:8:1:Small Skull|47:1:0:Bone Sword|
8|Secret Map|-1|0|100|100||50:1:1:Secret Map||
9|Farm Cleanup|-1|0|100|100||80:10:1:Mosquito Wing,88:5:1:Bundle of Hay||
10|Pet Food Delivery|-1|0|750|750||88:5:1:Bundle of Hay||
11|Twilly's New Staff|-1|0|100|100||87:1:1:Treeant Branch|1027:1:0:Twilly Twig|
12|Rubber Ducky|-1|0|100|100||86:1:1:Rubber Ducky||
13|Rats off To ya!|-1|0|100|100||79:8:1:Rat Ear||
14|Specialty Pizza|-1|0|100|100||98:5:1:Yummy Slime Sauce|100:1:1:Special Hair Gel|
15|Defend the Gates|-1|0|100|100||95:1:1:Undead Commander Sword||
16|Undead Invasion|-1|0|100|100||96:20:1:Slayer Medals||
20|Robina's Quest|-1|0|100|100||99:1:1:Back Key to the Castle||
21|Missing Boxes|-1|0|100|100||102:10:1:Boxes||
22|Backyard Zards|4|3|100|100||175:5:1:Zard's Tail|164:1:1:Westin Info|
23|Garden Snails|4|6|100|100||177:6:1:Snail Shells|168:1:1:Eastman Info|
24|Attic Spiders|4|4|100|100||176:6:1:Spider Legs|162:1:1:Northrup Info|
25|The Bone?|4|10|100|100||221:5:1:Werewolf Fur|540:1:0:Black Wolf|
26|Tempestuous Times|4|9|200|200|O|180:1:1:Mystery Clue|377:1:1:Scroll of Thanks|
27|Willow Creek|4|1|200|200||32:5:1:Hideous Zard Tail,35:1:1:Chieftain's Head|173:1:1:Letter to Calafalas|
28|Pirate's Treasure|-1|0|200|200||245:1:1:Ship in a Bottle|251:1:1:Admiral|
29|Smells Fishy to Me|-1|0|100|100||258:12:1:Fish Scale|247:1:1:Deck Cleaner|
30|Salmagundi|-1|0|100|100||256:10:1:Fish Wings|249:1:1:Sea Lover|
31|Map Recovery|-1|0|200|200||260:5:1:Map Fragment|252:1:0:Classic Pirate|
32|Defend the Rats|0|1|100|100||224:8:1:Piece of cloth||
33|Rats in the Cradle|0|2|0|0|O|15197:1:1:Horc Cheese,226:6:1:Baby Rat||
35|Short in Spoons|0|3|100|100||225:5:1:Spoon||
36|Short in Forks|0|4|100|100||223:5:1:Fork||
37|Letter Interception|0|5|100|100||222:1:1:Horc's Letter||
38|Not A Noob|0|6|100|100||227:1:1:Horc Trainer Horns||
39|Missing King|0|7|100|100|O|325:1:1:Rat Leader,15198:1:1:Rat King Clue|333:1:0:Recommendation Letter|
40|Take Down|0|8|200|200|U|326:1:1:Domesticated Rat||
41|Starving Pets|1|1|100|100|U|79:10:1:Rat Ear||
42|Picky Eaters|1|2|100|100|U|327:5:1:Zardman Fish||
43|Missing Crate|1|3|100|100|U|328:1:1:Pets Crate||
44|Wilderness|1|4|100|100|U|329:1:1:Wild Trobble||
